domain,verifier,strategy,other_FPR,self_FPR,FPR_Self_Bias,other_FNR,self_FNR,FNR_Self_Bias
code,deepseek,cot,0.2702702702702703,0.2594594594594595,-0.010810810810810811,0.033734939759036145,0.04096385542168675,0.0072289156626506035
code,deepseek,direct,0.1837837837837838,0.16216216216216217,-0.021621621621621623,0.033734939759036145,0.043373493975903614,0.009638554216867469
code,deepseek,rubric,0.24324324324324326,0.24864864864864866,0.005405405405405406,0.033734939759036145,0.03132530120481928,-0.0024096385542168655
code,llama,cot,0.17297297297297298,0.12432432432432433,-0.04864864864864865,0.03132530120481928,0.05542168674698795,0.02409638554216867
code,llama,direct,0.32972972972972975,0.2918918918918919,-0.03783783783783784,0.043373493975903614,0.04578313253012048,0.0024096385542168655
code,llama,rubric,0.21621621621621623,0.12972972972972974,-0.08648648648648649,0.04096385542168675,0.05542168674698795,0.0144578313253012
code,mistral,cot,0.11891891891891893,0.10810810810810811,-0.010810810810810811,0.38072289156626504,0.3180722891566265,-0.06265060240963854
code,mistral,direct,0.02702702702702703,0.02702702702702703,0.0,0.02891566265060241,0.021686746987951807,-0.0072289156626506035
code,mistral,rubric,0.05945945945945946,0.0918918918918919,0.032432432432432434,0.472289156626506,0.44819277108433736,-0.02409638554216864
code,qwen,cot,0.2810810810810811,0.22702702702702704,-0.05405405405405406,0.016867469879518072,0.014457831325301205,-0.0024096385542168672
code,qwen,direct,0.08108108108108109,0.08648648648648649,0.005405405405405406,0.014457831325301205,0.014457831325301205,0.0
code,qwen,rubric,0.2810810810810811,0.2702702702702703,-0.010810810810810811,0.014457831325301205,0.00963855421686747,-0.0048192771084337345
