domain,verifier,strategy,other_FPR,self_FPR,FPR_Self_Bias,other_FNR,self_FNR,FNR_Self_Bias
code,deepseek,cot,0.25,0.35,0.09999999999999998,0.05,0.1,0.05
code,deepseek,direct,0.25,0.1,-0.15,0.05,0.0,-0.05
code,deepseek,rubric,0.25,0.1,-0.15,0.0,0.0,0.0
code,llama,cot,0.05,0.05,0.0,0.2,0.15,-0.05000000000000002
code,llama,direct,0.25,0.2,-0.04999999999999999,0.15,0.15,0.0
code,llama,rubric,0.2,0.1,-0.1,0.15,0.15,0.0
code,mistral,cot,0.1,0.1,0.0,0.35,0.4,0.050000000000000044
code,mistral,direct,0.05,0.05,0.0,0.1,0.05,-0.05
code,mistral,rubric,0.1,0.0,-0.1,0.45,0.4,-0.04999999999999999
code,qwen,cot,0.3,0.2,-0.09999999999999998,0.0,0.05,0.05
code,qwen,direct,0.1,0.1,0.0,0.0,0.0,0.0
code,qwen,rubric,0.25,0.2,-0.04999999999999999,0.0,0.0,0.0
