domain,verifier,frame,strategy,Errors_Caught_Rate,Errors_Passed_Rate,Errors_Introduced_Rate,Correct_Confirmed_Rate
code,deepseek,neutral,cot,0.8,0.2,0.1,0.9
code,deepseek,neutral,direct,0.85,0.15,0.05,0.95
code,deepseek,neutral,rubric,0.8,0.2,0.0,1.0
code,deepseek,other,cot,0.75,0.25,0.05,0.95
code,deepseek,other,direct,0.75,0.25,0.05,0.95
code,deepseek,other,rubric,0.75,0.25,0.0,1.0
code,deepseek,self,cot,0.65,0.35,0.1,0.9
code,deepseek,self,direct,0.9,0.1,0.0,1.0
code,deepseek,self,rubric,0.9,0.1,0.0,1.0
code,llama,neutral,cot,0.95,0.05,0.15,0.85
code,llama,neutral,direct,0.65,0.35,0.15,0.85
code,llama,neutral,rubric,0.9,0.1,0.1,0.9
code,llama,other,cot,0.95,0.05,0.2,0.8
code,llama,other,direct,0.75,0.25,0.15,0.85
code,llama,other,rubric,0.8,0.2,0.15,0.85
code,llama,self,cot,0.95,0.05,0.15,0.85
code,llama,self,direct,0.8,0.2,0.15,0.85
code,llama,self,rubric,0.9,0.1,0.15,0.85
code,mistral,neutral,cot,0.85,0.15,0.4,0.6
code,mistral,neutral,direct,0.95,0.05,0.1,0.9
code,mistral,neutral,rubric,1.0,0.0,0.4,0.6
code,mistral,other,cot,0.9,0.1,0.35,0.65
code,mistral,other,direct,0.95,0.05,0.1,0.9
code,mistral,other,rubric,0.9,0.1,0.45,0.55
code,mistral,self,cot,0.9,0.1,0.4,0.6
code,mistral,self,direct,0.95,0.05,0.05,0.95
code,mistral,self,rubric,1.0,0.0,0.4,0.6
code,qwen,neutral,cot,0.7,0.3,0.0,1.0
code,qwen,neutral,direct,0.95,0.05,0.0,1.0
code,qwen,neutral,rubric,0.8,0.2,0.0,1.0
code,qwen,other,cot,0.7,0.3,0.0,1.0
code,qwen,other,direct,0.9,0.1,0.0,1.0
code,qwen,other,rubric,0.75,0.25,0.0,1.0
code,qwen,self,cot,0.8,0.2,0.05,0.95
code,qwen,self,direct,0.9,0.1,0.0,1.0
code,qwen,self,rubric,0.8,0.2,0.0,1.0
