domain,verifier,frame,strategy,Errors_Caught_Rate,Errors_Passed_Rate,Errors_Introduced_Rate,Correct_Confirmed_Rate
math,deepseek,neutral,cot,0.7,0.3,0.0,1.0
math,deepseek,neutral,direct,0.8,0.2,0.0,1.0
math,deepseek,neutral,rubric,0.7,0.3,0.03333333333333333,0.9666666666666667
math,deepseek,other,cot,0.8,0.2,0.0,1.0
math,deepseek,other,direct,0.7,0.3,0.0,1.0
math,deepseek,other,rubric,0.8,0.2,0.0,1.0
math,deepseek,self,cot,0.7,0.3,0.03333333333333333,0.9666666666666667
math,deepseek,self,direct,0.6,0.4,0.0,1.0
math,deepseek,self,rubric,0.8,0.2,0.03333333333333333,0.9666666666666667
math,llama,neutral,cot,0.6,0.4,0.0,1.0
math,llama,neutral,direct,0.6,0.4,0.0,1.0
math,llama,neutral,rubric,0.7,0.3,0.0,1.0
math,llama,other,cot,0.7,0.3,0.0,1.0
math,llama,other,direct,0.6,0.4,0.0,1.0
math,llama,other,rubric,0.6,0.4,0.0,1.0
math,llama,self,cot,0.7,0.3,0.0,1.0
math,llama,self,direct,0.5,0.5,0.0,1.0
math,llama,self,rubric,0.7,0.3,0.0,1.0
math,mistral,neutral,cot,0.3,0.7,0.06666666666666667,0.9333333333333333
math,mistral,neutral,direct,0.2,0.8,0.0,1.0
math,mistral,neutral,rubric,0.3,0.7,0.03333333333333333,0.9666666666666667
math,mistral,other,cot,0.3,0.7,0.03333333333333333,0.9666666666666667
math,mistral,other,direct,0.2,0.8,0.0,1.0
math,mistral,other,rubric,0.4,0.6,0.06666666666666667,0.9333333333333333
math,mistral,self,cot,0.3,0.7,0.0,1.0
math,mistral,self,direct,0.1,0.9,0.0,1.0
math,mistral,self,rubric,0.4,0.6,0.1,0.9
math,qwen,neutral,cot,0.6,0.4,0.0,1.0
math,qwen,neutral,direct,0.5,0.5,0.0,1.0
math,qwen,neutral,rubric,0.6,0.4,0.0,1.0
math,qwen,other,cot,0.6,0.4,0.0,1.0
math,qwen,other,direct,0.6,0.4,0.0,1.0
math,qwen,other,rubric,0.6,0.4,0.0,1.0
math,qwen,self,cot,0.6,0.4,0.0,1.0
math,qwen,self,direct,0.6,0.4,0.0,1.0
math,qwen,self,rubric,0.6,0.4,0.0,1.0
