domain,verifier,frame,strategy,Total,TP,FP,TN,FN,Avg_Latency,Avg_Verbosity,Dissociated,Accuracy,FPR,FNR,Dissociation_Rate
code,deepseek,neutral,cot,40,17,15,4,4,7.692820857500192,135.825,0,0.525,0.7894736842105263,0.19047619047619047,0.0
code,deepseek,neutral,direct,40,16,15,4,5,6.556621452501713,0.0,0,0.5,0.7894736842105263,0.23809523809523808,0.0
code,deepseek,neutral,rubric,40,16,14,5,5,8.305391492498893,143.125,0,0.525,0.7368421052631579,0.23809523809523808,0.0
code,deepseek,other,cot,40,17,16,3,4,8.110767247503826,132.9,0,0.5,0.8421052631578947,0.19047619047619047,0.0
code,deepseek,other,direct,40,16,14,5,5,6.832487957501144,0.0,0,0.525,0.7368421052631579,0.23809523809523808,0.0
code,deepseek,other,rubric,40,16,14,5,5,8.003017192502739,144.05,0,0.525,0.7368421052631579,0.23809523809523808,0.0
code,deepseek,self,cot,40,16,17,2,5,8.871292607496434,132.825,1,0.45,0.8947368421052632,0.23809523809523808,0.025
code,deepseek,self,direct,40,17,14,5,4,7.514336937500775,0.0,0,0.55,0.7368421052631579,0.19047619047619047,0.0
code,deepseek,self,rubric,40,15,14,5,6,8.2341467774997,142.95,0,0.5,0.7368421052631579,0.2857142857142857,0.0
code,llama,neutral,cot,40,15,15,4,6,6.147442337497341,256.05,0,0.475,0.7894736842105263,0.2857142857142857,0.0
code,llama,neutral,direct,40,17,15,4,4,2.3623956500028727,0.0,0,0.525,0.7894736842105263,0.19047619047619047,0.0
code,llama,neutral,rubric,40,14,13,6,7,4.163064829999348,153.15,0,0.5,0.6842105263157895,0.3333333333333333,0.0
code,llama,other,cot,40,14,15,4,7,5.698851165000815,260.85,0,0.45,0.7894736842105263,0.3333333333333333,0.0
code,llama,other,direct,40,17,15,4,4,2.6012840074967243,0.0,0,0.525,0.7894736842105263,0.19047619047619047,0.0
code,llama,other,rubric,40,13,13,6,8,4.571358707499167,154.675,0,0.475,0.6842105263157895,0.38095238095238093,0.0
code,llama,self,cot,40,14,15,4,7,6.37870996749989,249.7,0,0.45,0.7894736842105263,0.3333333333333333,0.0
code,llama,self,direct,40,17,15,4,4,2.993072394999763,0.0,0,0.525,0.7894736842105263,0.19047619047619047,0.0
code,llama,self,rubric,40,14,14,5,7,4.677628325000114,159.225,0,0.475,0.7368421052631579,0.3333333333333333,0.0
code,mistral,neutral,cot,40,17,18,1,4,1.323434625000664,191.35,0,0.45,0.9473684210526315,0.19047619047619047,0.0
code,mistral,neutral,direct,40,19,18,1,2,0.6549338874974637,0.0,0,0.5,0.9473684210526315,0.09523809523809523,0.0
code,mistral,neutral,rubric,40,4,4,15,17,1.2663019050000002,214.85,0,0.475,0.21052631578947367,0.8095238095238095,0.0
code,mistral,other,cot,40,18,15,4,3,1.2333614449999004,183.95,1,0.55,0.7894736842105263,0.14285714285714285,0.025
code,mistral,other,direct,40,19,18,1,2,0.6300339749992417,0.0,0,0.5,0.9473684210526315,0.09523809523809523,0.0
code,mistral,other,rubric,40,5,5,14,16,1.269769012498,212.15,0,0.475,0.2631578947368421,0.7619047619047619,0.0
code,mistral,self,cot,40,18,16,3,3,1.2657517674997507,192.275,0,0.525,0.8421052631578947,0.14285714285714285,0.0
code,mistral,self,direct,40,19,18,1,2,0.7042153099981079,0.0,0,0.5,0.9473684210526315,0.09523809523809523,0.0
code,mistral,self,rubric,40,6,7,12,15,1.5373696624985314,209.425,0,0.45,0.3684210526315789,0.7142857142857143,0.0
code,qwen,neutral,cot,40,16,16,3,5,11.283452250001574,171.225,0,0.475,0.8421052631578947,0.23809523809523808,0.0
code,qwen,neutral,direct,40,17,15,4,4,10.089072320002742,0.0,0,0.525,0.7894736842105263,0.19047619047619047,0.0
code,qwen,neutral,rubric,40,17,15,4,4,11.31951665500019,152.875,0,0.525,0.7894736842105263,0.19047619047619047,0.0
code,qwen,other,cot,40,17,16,3,4,13.617611492497963,161.7,0,0.5,0.8421052631578947,0.19047619047619047,0.0
code,qwen,other,direct,40,17,16,3,4,12.674920872501389,0.0,0,0.5,0.8421052631578947,0.19047619047619047,0.0
code,qwen,other,rubric,40,17,16,3,4,11.055229447498277,143.425,0,0.5,0.8421052631578947,0.19047619047619047,0.0
code,qwen,self,cot,40,17,16,3,4,13.764572155001952,159.175,0,0.5,0.8421052631578947,0.19047619047619047,0.0
code,qwen,self,direct,40,17,16,3,4,12.90211458749909,0.0,0,0.5,0.8421052631578947,0.19047619047619047,0.0
code,qwen,self,rubric,40,17,16,3,4,13.785017902499385,145.275,0,0.5,0.8421052631578947,0.19047619047619047,0.0
math,deepseek,neutral,cot,40,30,1,6,3,7.347299382500205,142.2,0,0.9,0.14285714285714285,0.09090909090909091,0.0
math,deepseek,neutral,direct,40,32,2,5,1,5.929759555000783,0.0,0,0.925,0.2857142857142857,0.030303030303030304,0.0
math,deepseek,neutral,rubric,40,32,2,5,1,6.8696490649992485,111.4,0,0.925,0.2857142857142857,0.030303030303030304,0.0
math,deepseek,other,cot,40,32,1,6,1,7.423172645001614,157.675,0,0.95,0.14285714285714285,0.030303030303030304,0.0
math,deepseek,other,direct,40,32,2,5,1,5.9857085800002094,0.0,0,0.925,0.2857142857142857,0.030303030303030304,0.0
math,deepseek,other,rubric,40,32,2,5,1,6.9468587074989046,110.15,0,0.925,0.2857142857142857,0.030303030303030304,0.0
math,deepseek,self,cot,40,30,1,6,3,7.58730595000161,147.0,0,0.9,0.14285714285714285,0.09090909090909091,0.0
math,deepseek,self,direct,40,32,2,5,1,6.093689027499204,0.0,0,0.925,0.2857142857142857,0.030303030303030304,0.0
math,deepseek,self,rubric,40,32,3,4,1,7.220877987499262,104.9,0,0.9,0.42857142857142855,0.030303030303030304,0.0
math,llama,neutral,cot,40,33,2,5,0,5.45040036499995,200.975,0,0.95,0.2857142857142857,0.0,0.0
math,llama,neutral,direct,40,33,3,4,0,1.92454280499951,0.0,0,0.925,0.42857142857142855,0.0,0.0
math,llama,neutral,rubric,40,33,3,4,0,3.53602871999974,121.55,0,0.925,0.42857142857142855,0.0,0.0
math,llama,other,cot,40,31,1,6,2,5.11134646250066,188.475,0,0.925,0.14285714285714285,0.06060606060606061,0.0
math,llama,other,direct,40,33,3,4,0,3.1386009324989574,0.0,0,0.925,0.42857142857142855,0.0,0.0
math,llama,other,rubric,40,33,3,4,0,4.583425255002657,129.425,0,0.925,0.42857142857142855,0.0,0.0
